Class	DocDB Family ID	Serial no.	Title	Publication date
negative	10816428	US6200625B1	Preparation of chocolate products with limonene to reduce fat content	2001-03-13
negative	10816428	ZA9806592B	Low fat chocolate.	2000-01-24
negative	10859339	CA2308996A1	MOULDED CONFECTIONERY PRODUCT COMPRISING VEGETABLES SOLIDS	2001-02-17
negative	10859339	CA2308996C	MOULDED CONFECTIONERY PRODUCT COMPRISING VEGETABLES SOLIDS	2008-12-23
negative	10859339	EP1078577A2	Moulded confectionery product comprising vegetable solids	2001-02-28
negative	10859339	EP1078577A3	Moulded confectionery product comprising vegetable solids	2003-08-13
negative	10859339	GB9919487D0	Moulded onfectionery product comprising vegetables	1999-10-20
negative	10859339	JP2001069919A	CONFECTIONERY PRODUCT	2001-03-21
negative	10859339	JP4376431B2	The candy	2009-12-02
negative	10859339	US6713100B1	MOLDED CHOCOLATE SHAPEIN; VEGETABLE PARTICLES SURROUNDED BY FAT	2004-03-30
negative	11075862	AU2002363613B2	Carotenoid composition and method for protecting skin	2007-08-02
negative	11075862	BR0214197A	Método para proteger a pele contra danos causados por radiação solar uv, composição de carotenóide, forma de dosagem oral contendo licopeno e carotenóide e uso	2004-08-31
negative	11075862	CA2467056A1	CAROTENOID COMPOSITION AND METHOD FOR PROTECTING SKIN	2003-05-22
negative	11075862	CA2467056C	CAROTENOID COMPOSITION AND METHOD FOR PROTECTING SKIN	2014-11-04
negative	11075862	CN100391433C	Carotenoid pigment composition and protection method of skin	2008-06-04
negative	11075862	CN1585629A	Carotenoid pigment composition and protection method of skin	2005-02-23
negative	11075862	EP1443897A1	CAROTENOID COMPOSITION AND METHOD FOR PROTECTING SKIN	2004-08-11
negative	11075862	EP1443897B1	CAROTENOID COMPOSITION AND METHOD FOR PROTECTING SKIN	2017-07-12
negative	11075862	ES2641737T3	Carotenoid composition and method for protecting the skin	2017-11-13
negative	11075862	IL146496D0	CAROTENOID COMPOSITION AND METHOD FOR PROTECTING SKIN	2002-07-25
negative	11075862	IL161704A	Skin-protecting carotenoid composition	2015-11-30
negative	11075862	IL161704D0	CAROTENOID COMPOSITION AND METHOD FOR PROTECTING SKIN	2004-09-27
negative	11075862	JP2005515179A	And methods carotenoid composition for protecting the skin	2005-05-26
negative	11075862	JP2012180363A	CAROTINOID COMPOSITION AND METHOD FOR PROTECTION OF SKIN	2012-09-20
negative	11075862	JP6125760B2	Carotenoid compositions and methods for protecting the skin	2017-05-10
negative	11075862	KR20050043788A	CAROTENOID COMPOSITION AND METHOD FOR PROTECTING SKIN	2005-05-11
negative	11075862	NO20041803A	Karotenoidpreparat og metode for beskyttelse av hud	2004-08-06
negative	11075862	NO20041803L	Karotenoidpreparat og metode for beskyttelse av hud	2004-08-06
negative	11075862	PL209422B1	CAROTENOID COMPOSITION AND METHOD FOR PROTECTING SKIN	2011-08-31
negative	11075862	PL368855A1	CAROTENOID COMPOSITION AND METHOD FOR PROTECTING SKIN	2005-04-04
negative	11075862	RU2004114283A	Carotenoid compositions and methods of skin protection	2005-03-20
negative	11075862	RU2341252C2	CAROTINOID COMPOSITION AND METHOD OF SKIN PROTECTION	2008-12-20
negative	11075862	US20050053559A1	Protecting skin against damages caused by ultraviolet radiation from the sun by administering lycopene along with phytoene and/or phytofluene; orally administered in foods or beverages	2005-03-10
negative	11075862	US20090176872A1	Carotenoid Composition and Method for Protecting Skin	2009-07-09
negative	11075862	WO2003041678A1	CAROTENOID COMPOSITION AND METHOD FOR PROTECTING SKIN	2003-05-22
negative	11075862	ZA200403529B	Carotenoid composition and method for protecting skin.	2005-01-12
negative	12499912	JP3450080B2	The health food and the medical supply null which blending the procyanidin	2003-09-22
negative	12499912	JPH08205818A	The health food and the medical supply which blending the procyanidin	1996-08-13
negative	13728160	JP2999791B2	Method of enhancing glucosyltransferase inhibitory activity	2000-01-17
negative	13728160	JPH03284671A	ENHANCEMENT OF GLUCOSYLTRANSFERASE-INHIBITORY ACTIVITY	1991-12-16
negative	14577725	CA2269509A1	PROCESS FOR PREPARING UKON FOR FOOD	1999-10-22
negative	14577725	CA2269509C	PROCESS FOR PREPARING UKON FOR FOOD	2004-12-14
negative	14577725	JP3244468B2	Production manner null of ukon	2002-01-07
negative	14577725	JPH11299444A	Production manner of ukon food	1999-11-02
negative	14577725	US20050106307A1	Ginger plant containing curcumin, such as Ukon or turmeric is enhanced for use as a food by fermenting it with a starch and red koji mold	2005-05-19
negative	14577725	US7618665B2	Ginger plant containing curcumin, such as Ukon or turmeric is enhanced for use as a food by fermenting it with a starch and red koji mold	2009-11-17
negative	15334597	JP2000327582A	SUBSTANCE FOR INHIBITING ONCOCYTE METASTASIS	2000-11-28
negative	15725660	JP3998293B2	Helicobacter pylori inhibitor	2007-10-24
negative	15725660	JPH1112172A	HELICOBACTER PYLORI INHIBITOR	1999-01-19
negative	16295497	AU633773B1	A method of inhibiting sucrase activity	1993-02-04
negative	16295497	CA2073326A1	METHOD OF INHIBITING SUCRASE ACTIVITY	1993-01-09
negative	16295497	EP0522502A1	Inhibitors of sucrase activity from tea	1993-01-13
negative	16295497	JP3088787B2	shiyukuraze active inhibiter	2000-09-18
negative	16295497	JPH0517364A	SUCRASE ACTIVITY INHIBITOR	1993-01-26
negative	16295497	KR930001925A	How to inhibit sucrase activity	1993-02-22
negative	16852874	JP2000053573A	LIVER FUNCTION IMPROVER	2000-02-22
negative	16900991	JP3968405B2	The anti- allergy medicine	2007-08-29
negative	16900991	JPH1072357A	ANTIALLERGIC AGENT	1998-03-17
negative	16936575	JP3327699B2	Sophorae radix extract content anti-bacterial antiseptics and cosmetics	2002-09-24
negative	16936575	JPH0873364A	ANTIBACTERIAL AND ANTISEPTIC AGENT CONTAINING EXTRACT OF SOPHORA FLVESCENS AITIN AND COSMETIC	1996-03-19
negative	17483335	AT110963T	MITTEL ZUR HEMMUNG DER ALPHA-AMYLASE AKTIVITÄT.	1994-09-15
negative	17483335	AU5319590A	Inhibitive agent against activity of alpha-amylase	1991-04-26
negative	17483335	AU628514B2	INHIBITIVE AGENT AGAINST ACTIVITY OF ALPHA-AMYLASE	1992-09-17
negative	17483335	CA2014971A1	INHIBITIVE AGENT AGAINST ACTIVITY OF ALPHA-AMYLASE	1991-04-19
negative	17483335	CA2014971C	INHIBITIVE AGENT AGAINST ACTIVITY OF ALPHA-AMYLASE	1999-12-14
negative	17483335	DE69012268T2	Agent for the inhibition of the alpha - amylase activity.	1995-02-23
negative	17483335	EP0423419A1	Inhibitive agent against activity of alpha-amylase	1991-04-24
negative	17483335	EP0423419B1	Inhibitive agent against activity of alpha-amylase	1994-09-07
negative	17483335	JP3018013B2	-amiraze active inhibiter	2000-03-13
negative	17483335	JPH03133928A	ALPHA-AMYLASE ACTIVITY INHIBITOR	1991-06-07
negative	17483335	KR0178522B1	INHIBITIVE AGENT AGAINST ACTIVITY OF ALPHA-AMYLASE	1999-03-20
negative	17483335	KR910007538A	-Amylase activity inhibitor	1991-05-30
negative	17817892	JP2000116356A	ANTIALLERGIC FOOD AND ANTIALLERGIC AGENT	2000-04-25
negative	18318681	AT277613T	PROCYANIDIN ALS DEN AKTIVEN BESTANDTEIL ENTHALTENDE MITTEL GEGEN FETTLEIBIGKEIT	2004-10-15
negative	18318681	DE69633502T2	Procyanidin agents containing, as the active ingredient to obesity	2006-02-23
negative	18318681	DK0815857T3	Anti-adipose agent containing procyanidin as the active ingredient	2005-01-24
negative	18318681	EP0815857A1	ANTIOBESTIC AGENT CONTAINING PROCYANIDIN AS THE ACTIVE INGREDIENT	1998-01-07
negative	18318681	EP0815857A4	ANTIOBESTIC AGENT CONTAINING PROCYANIDIN AS THE ACTIVE INGREDIENT	2001-04-04
negative	18318681	EP0815857B1	ANTIOBESTIC AGENT CONTAINING PROCYANIDIN AS THE ACTIVE INGREDIENT	2004-09-29
negative	18318681	ES2230573T3	Anti-obesity agent whose active ingredient is procyanidin.	2005-05-01
negative	18318681	KR100896914B1	NULL	2009-07-28
negative	18318681	KR19980702533A	Antioxidants containing procyanidin as an active ingredient	1998-07-15
negative	18318681	PT815857E	AGENTE ANTI-OBESIDADE PROCIANIDINA COMO INGREDIENTE ACTIVO	2005-01-31
negative	18318681	US6294190B1	Antiobestic agent containing procyanidin as the active ingredient	2001-09-25
negative	18318681	WO1997023210A1	ANTIOBESTIC AGENT CONTAINING PROCYANIDIN AS THE ACTIVE INGREDIENT	1997-07-03
negative	18541605	JP2001199881A	APOPTOSIS INDUCER	2001-07-24
negative	18578532	JP2001247469A	MEDICINE FOR DENTAL CARIES AND PERIODONTAL DISEASE, AND COMPOSITION WHICH CONTAIN THE MEDICINE AND IS USED FOR ORAL CAVITY, AND DRINK OR FOOD CONTAINING THE MEDICINE	2001-09-11
negative	18578532	JP4630416B2	The pit caries, the gearwheel lap from the pericarp	2011-02-09
negative	18600245	AU2982001A	Proanthocyanidin-containing composition	2001-09-27
negative	18600245	CA2341618A1	PROANTHOCYANIDIN-CONTAINING COMPOSITION	2001-09-24
negative	18600245	CN1321444A	A flower pigment the composition of	2001-11-14
negative	18600245	EP1135995A2	Composition and method for stabilising proanthocyanidin	2001-09-26
negative	18600245	EP1135995A3	Composition and method for stabilising proanthocyanidin	2002-07-03
negative	18600245	JP2001270881A	Professional anthocyanidin content constituent	2001-10-02
negative	18600245	JP4574788B2	As a professional	2010-11-04
negative	18600245	SG99895A1	PROANTHOCYANIDIN-CONTAINING COMPOSITION	2003-11-27
negative	18600245	US20010036487A1	Containing amino acid having a hydroxyl group or a dipeptide containing said amino acid; food, beverage; prevention of discoloration by oxidative polymerization	2001-11-01
negative	18600245	US20030138510A1	Stabilizing proanthocyanidin with an amino acid having a hydroxyl group or its dipeptide	2003-07-24
negative	18600245	US6506419B2	Containing amino acid having a hydroxyl group or a dipeptide containing said amino acid; food, beverage; prevention of discoloration by oxidative polymerization	2003-01-14
negative	18600245	US6926914B2	Stabilizing proanthocyanidin with an amino acid having a hydroxyl group or its dipeptide	2005-08-09
negative	19017774	JP2002370980A	LOWERING AGENT FOR URIC ACID VALUE AND FOOD AND DRINK HAVING LOWERING EFFECT ON URIC ACID VALUE	2002-12-24
negative	19017774	JP4160276B2	It decreases uric acid value uric acid value low vis-a-vis the person where	2008-10-01
negative	19031235	AT306822T	WEICHE VERBUNDSÜSSWARE	2005-11-15
negative	19031235	CN1193676C	Soft candy	2005-03-23
negative	19031235	CN1394517A	Soft candy	2003-02-05
negative	19031235	DE60206698T2	Soft composite material wound	2006-07-13
negative	19031235	EP1269856A2	Composite soft candy	2003-01-02
negative	19031235	EP1269856A3	Composite soft candy	2003-12-10
negative	19031235	EP1269856B1	Composite soft candy	2005-10-19
negative	19031235	HK1050612A1	Soft candy.	2005-10-28
negative	19031235	JP2003000148A	SOFT CANDY	2003-01-07
negative	19031235	JP3555597B2	Soft candy	2004-08-18
negative	19031235	US20020197358A1	Soft candy	2002-12-26
negative	19031235	US6759074B2	Soft candy	2004-07-06
negative	19043809	JP2003026571A	NUTRITIONAL COMPOSITION	2003-01-29
negative	19043809	JP5060691B2	The nutrition constituent	2012-10-31
negative	19091043	JP2003073279A	oral nutritional supplement that fast-acting and contains a flavonoid glycoside with sustainability	2003-03-12
negative	19091043	JP4846141B2	Oral nutritional supplement containing a flavonoid glycoside with a fast-acting and persistence	2011-12-28
negative	19116945	JP2003095968A	CIRCULATORY DISEASE-PREVENTING COMPOSITION	2003-04-03
negative	19142613	JP2003128542A	SOLUBILIZED ISOFLAVONE COMPOSITION, METHOD FOR PRODUCING THE SAME, AND METHOD FOR PRODUCING ISOFLAVONE- CONTAINING AQUEOUS BEVERAGE	2003-05-08
negative	19142613	JP4013034B2	Solubilizing isoflavone composition, a manufacturing method of their preparation and isoflavones-containing aqueous beverage	2007-11-28
negative	19182710	JP2003169631A	ANTI-ALLERGIC DRINK OR FOOD	2003-06-17
negative	19182710	JP4524465B2	The anti- allergy medicine which	2010-08-18
negative	19477355	CA2268437A1	NARINGIN AND NARINGENIN AS 3-HYDROXY-3-METHYLGLUTARYL COA(HMG-COA) REDUCTASE INHIBITOR	1998-04-23
negative	19477355	CA2268437C	NARINGIN AND NARINGENIN AS 3-HYDROXY-3-METHYLGLUTARYL COA(HMG-COA) REDUCTASE INHIBITOR	2003-07-29
negative	19477355	CA2268438A1	HESPERIDIN AND HESPERETIN AS 3-HYDROXY-3-METHYLGLUTARYL COA(HMG-COA) REDUCTASE INHIBITOR	1998-04-23
negative	19477355	CA2268438C	HESPERIDIN AND HESPERETIN AS 3-HYDROXY-3-METHYLGLUTARYL COA(HMG-COA) REDUCTASE INHIBITOR	2003-05-27
negative	19477355	CA2268439A1	CITRUS PEEL EXTRACT AS 3-HYDROXY-3-METHYLGLUTARYL COA(HMG-COA) REDUCTASE INHIBITOR	1998-04-23
negative	19477355	CA2268439C	CITRUS PEEL EXTRACT AS 3-HYDROXY-3-METHYLGLUTARYL COA(HMG-COA) REDUCTASE INHIBITOR	2003-12-23
negative	19477355	CN1104897C	As 3 - hydroxyl- 3- methyl cyclopentadiene second acyl coa hmg-coa reductase inhibitor hesperidin and hesperetin	2003-04-09
negative	19477355	CN1106840C	As 3 - hydroxyl- 3- methyl glutaric acid coenzyme a hmg-coa reductase inhibitors of naringin and pomelo glycoside ligand	2003-04-30
negative	19477355	CN1233174A	As 3 - hydroxyl- 3- methyl glutaric acid coenzyme a hmg-coa reductase inhibitors of naringin and pomelo glycoside ligand	1999-10-27
negative	19477355	CN1233175A	As 3 - hydroxyl- 3- methyl cyclopentadiene second acyl coa hmg-coa reductase inhibitor hesperidin and hesperetin	1999-10-27
negative	19477355	CN1233182A	As 3 - hydroxyl- 3- methyl glutaric acid coenzyme a hmg-coa reductase inhibitors of orange peel extract	1999-10-27
negative	19477355	DE69718030T2	Citrus fruits shells extract as a 3 - hydroxy - 3 - methyl embers aryl coa (32 - coa) reductase inhibitor	2003-04-30
negative	19477355	DE69727707T2	Naringin and naringenin than 3 - hydroxy - 3 - methyl embers aryl coa (32 - coa) reductase inhibitors	2004-07-15
negative	19477355	DE69728064T2	Hesperidin and hesperitin than 3 - hydroxy - 3 - methyl embers aryl coa (32 - coa) reductase inhibitors	2004-07-22
negative	19477355	EP0930889A1	CITRUS PEEL EXTRACT AS 3-HYDROXY-3-METHYLGLUTARYL CoA(HMG-CoA) REDUCTASE INHIBITOR	1999-07-28
negative	19477355	EP0930889B1	CITRUS PEEL EXTRACT AS 3-HYDROXY-3-METHYLGLUTARYL CoA(HMG-CoA) REDUCTASE INHIBITOR	2002-12-18
negative	19477355	EP0957911A1	HESPERIDIN AND HESPERETIN AS 3-HYDROXY-3-METHYLGLUTARYL CoA(HMG-CoA) REDUCTASE INHIBITOR	1999-11-24
negative	19477355	EP0957911B1	HESPERIDIN AND HESPERETIN AS 3-HYDROXY-3-METHYLGLUTARYL CoA(HMG-CoA) REDUCTASE INHIBITOR	2004-03-10
negative	19477355	EP1014968A1	NARINGIN AND NARINGENIN AS 3-HYDROXY-3-METHYLGLUTARYL CoA(HMG-CoA) REDUCTASE INHIBITOR	2000-07-05
negative	19477355	EP1014968B1	NARINGIN AND NARINGENIN AS 3-HYDROXY-3-METHYLGLUTARYL CoA(HMG-CoA) REDUCTASE INHIBITOR	2004-02-18
negative	19477355	HK1022104A1	HESPERIDIN AND HESPERETIN AS 3-HYDROXY-3-METHYLGLUTARYL COA(HMG-COA) REDUCTASE INHIBITOR	2003-12-12
negative	19477355	HK1022105A1	NARINGIN AND NARINGENIN AS 3-HYDROXY-3-METHYLGLUTARYL COA(HMG-COA) REDUCTASE INHIBITOR	2003-12-12
negative	19477355	JP2001502320A	Hesperidin and hesuperechin 3 - the hydroxy - 3 - mechirugurutariru - as a CoA (HMG-CoA) reductase inhibiter	2001-02-20
negative	19477355	JP2001502321A	Naringin and naringenin 3 - the hydroxy - 3 - mechirugurutariru - as a CoA (HMG-CoA) reductase inhibiter	2001-02-20
negative	19477355	JP2001502322A	The  oranges pericarp extract 3 - the hydroxy - 3 - as a mechirugurutariru CoA (HMG-CoA) reductase inhibiter	2001-02-20
negative	19477355	JP3340135B2	 oranges pericarp extract 3 - the hydroxy - 3 - mechirugurutariru CoA (HMG-CoA) as a reductase inhibiter	2002-11-05
negative	19477355	KR100213895B1	COMPOSITIONS FOR THE PREVENTION AND THERAPY OF CARDIOVASCULAR DISEASE CONTAINING EXTRACT OF CITRUS FRUIT PEEL HESPERIDIN OR NARINGIN	1999-08-02
negative	19477355	KR100213898B1	COMPOSITION FOR THE INHIBITION OF HYDROXYMETHYLGLUTARYL-CoA REDUCTASE COMPRISING HESPERIDIN	2000-03-15
negative	19477355	KR100213899B1	COMPOSITION FOR THE INHIBITION OF HYDROXYMETHYLGLUTARYL-CoA REDUCTASE COMPRISING NARINGIN	2000-03-15
negative	19477355	KR19980027074A	Citrus peel extract, a herbal composition for preventing and treating cardiovascular diseases containing hesperidin or naringin isolated therefrom	1998-07-15
negative	19477355	RU2174392C2	HESPERIDIN AND HESPERETIN AS INHIBITORS OF 3-HYDROXY-3-METHYL-GLUTARYL-COA-REDUCTASE	2001-10-10
negative	19477355	RU2174393C2	NARINGIN AND NARINGENIN AS INHIBITOR OF ACTIVITY OF 3-HYDROXY-3-METHYLGLUTARYL-COA-REDUCTASE	2001-10-10
negative	19477355	US5763414A	Hesperidin and hesperetin as 3-hydroxy-3-methylglutaryl CoA (HMG-CoA) reductase inhibitor	1998-06-09
negative	19477355	US5792461A	ADMINISTERED IN THE FORM OF AN ADDITIVE OF DIETARY SUPPLEMENT IN FOOD OR BEVERAGES, AN ANTICHOLESETROL AGENT	1998-08-11
negative	19477355	US5877208A	Naringin and naringenin as 3-hydroxy-3-methylglutaryl CoA(HMG-CoA) reductase inhibitor	1999-03-02
negative	19477355	WO1998016220A1	HESPERIDIN AND HESPERETIN AS 3-HYDROXY-3-METHYLGLUTARYL CoA(HMG-CoA) REDUCTASE INHIBITOR	1998-04-23
negative	19477355	WO1998016221A1	NARINGIN AND NARINGENIN AS 3-HYDROXY-3-METHYLGLUTARYL CoA(HMG-CoA) REDUCTASE INHIBITOR	1998-04-23
negative	19477355	WO1998016239A1	CITRUS PEEL EXTRACT AS 3-HYDROXY-3-METHYLGLUTARYL CoA(HMG-CoA) REDUCTASE INHIBITOR	1998-04-23
negative	19550602	CA2344054A1	COMPOSITION CONTAINING RUTIN AND QUERCETIN FOR PREVENTING OR TREATING ELEVATED BLOOD LIPID LEVEL-RELATED DISEASES	2000-03-23
negative	19550602	CN1317972A	For preventing or treating the blood fat elevated levels of diseases related to a rue and five hydroxyl flavonoid glycoside composition	2001-10-17
negative	19550602	EP1124564A1	COMPOSITION CONTAINING RUTIN AND QUERCETIN FOR PREVENTING OR TREATING ELEVATED BLOOD LIPID LEVEL-RELATED DISEASES	2001-08-22
negative	19550602	JP2002524522A	The rutin for preventing or remedy the disease which depends in lipid density in the high blood and the composition which includes quercetin	2002-08-06
negative	19550602	KR20000019717A	COMPOSITION COMPRISING RUTIN AND QUERCETIN FOR PREVENTING AND TREATING HYPERLIPIDEMIA, ARTERIOSCLEROSIS AND LIVER DISEASE	2000-04-15
negative	19550602	US20010014669A1	Inhibiting 3-hydroxy-3-methylglutaryl coenzyme A (HMG-CoA) reductase in humans; hyperlipidemia, arteriosclerosis, angina pectoris, stroke, and hepatic diseases	2001-08-16
negative	19550602	US6509372B2	Inhibiting 3-hydroxy-3-methylglutaryl coenzyme A (HMG-CoA) reductase in humans; hyperlipidemia, arteriosclerosis, angina pectoris, stroke, and hepatic diseases	2003-01-21
negative	19550602	US6562866B1	A method for treating or preventing an elevated blood lipid level-related disease in a mammal, which comprises administering thereto an effective amount of rutin, quercetin or a mixture thereof.	2003-05-13
negative	19550602	WO2000015237A1	COMPOSITION CONTAINING RUTIN AND QUERCETIN FOR PREVENTING OR TREATING ELEVATED BLOOD LIPID LEVEL-RELATED DISEASES	2000-03-23
negative	19550602	WO2000015237A9	COMPOSITION CONTAINING RUTIN AND QUERCETIN FOR PREVENTING OR TREATING ELEVATED BLOOD LIPID LEVEL-RELATED DISEASES	2000-06-29
negative	20284551	AR034527A1	NUEVO PRODUCTO Y USO Y FABRICACION DEL MISMO	2004-02-25
negative	20284551	AT485034T	BESCHICHTETER NIKOTINHALTIGER KAUGUMMI, SEINE HERSTELLUNG UND VERWENDUNG	2010-11-15
negative	20284551	AU2002345454B2	A coated nicotine-containing chewing gum, manufacture and use thereof	2006-07-20
negative	20284551	BR0210342A	Goma de mascar revestida contendo nicotina e fabricação e uso da mesma	2004-07-13
negative	20284551	CA2449298A1	A COATED NICOTINE-CONTAINING CHEWING GUM, MANUFACTURE AND USE THEREOF	2002-12-27
negative	20284551	CA2449298C	A COATED NICOTINE-CONTAINING CHEWING GUM, MANUFACTURE AND USE THEREOF	2011-08-02
negative	20284551	CZ20033458A3	A COATED NICOTINE-CONTAINING CHEWING GUM, MANUFACTURE AND USE THEREOF	2004-05-12
negative	20284551	DK1404306T3	A coated nicotine-containing chewing gum manufacture using the same	2011-01-24
negative	20284551	EP1404306A1	A COATED NICOTINE-CONTAINING CHEWING GUM, MANUFACTURE AND USE THEREOF	2004-04-07
negative	20284551	EP1404306B1	A COATED NICOTINE-CONTAINING CHEWING GUM, MANUFACTURE AND USE THEREOF	2010-10-20
negative	20284551	ES2352681T3	A coated chewing gum containing nicotine, manufacture and use thereof.	2011-02-22
negative	20284551	IL159425A	COATED NICOTINE-CONTAINING CHEWING GUM, MANUFACTURE AND USE THEREOF	2006-12-10
negative	20284551	IL159425D0	A COATED NICOTINE-CONTAINING CHEWING GUM, MANUFACTURE AND USE THEREOF	2004-06-01
negative	20284551	JP2005500296A	Nicotine-containing chewing gum that is coated, their manufacture and use	2005-01-06
negative	20284551	JP2010070564A	NICOTINE-CONTAINING COATED CHEWING GUM, AND PRODUCTION AND USE OF THE SAME	2010-04-02
negative	20284551	JP4571402B2	The coated nicotine-containing chewing gums, their preparation and use	2010-10-27
negative	20284551	MXPA03011557A	A COATED NICOTINE-CONTAINING CHEWING GUM, MANUFACTURE AND USE THEREOF.	2004-03-18
negative	20284551	NZ529780A	A coated nicotine-containing chewing gum, manufacture and use thereof	2006-04-28
negative	20284551	RU2003137595A	Coated chewing gum containing nicotine, PROCESS FOR ITS PREPARATION AND ITS USE	2005-02-10
negative	20284551	RU2291688C2	NICOTINE-CONTAINING CHEW WITH COVER, METHOD FOR ITS PREPARING AND USING	2007-01-20
negative	20284551	SE0102197D0	New product and use and manufacture thereof	2001-06-20
negative	20284551	US20040194793A1	Coated nicotine-containing chewing gum, manufacture and use thereof	2004-10-07
negative	20284551	US20120017924A1	COATED NICOTINE-CONTAINING CHEWING GUM, MANUFACTURE AND USE THEREOF	2012-01-26
negative	20284551	WO2002102357A1	A COATED NICOTINE-CONTAINING CHEWING GUM, MANUFACTURE AND USE THEREOF	2002-12-27
negative	20284551	ZA200309204B	A coated nicotine-containing chewing gum, manufacture and use thereof.	2005-02-23
negative	21748543	EP1453542A1	NUTRACEUTICAL COMPOSITION	2004-09-08
negative	21748543	US20030091552A1	Mixture of tripeptides, flavonoids, guanidine hydrochloride, brazilin, lipoic acid, catalase, vitamin E and selenium	2003-05-15
negative	21748543	US6585998B2	Effective to maintain normal blood sugar levels and normal levels of non-enzymatic protein glycosylation; comprising tripeptide, guanidine hydrochloride, alpha -lipoic acid, a brazilin, an amino acid, a flavonoid and catalase	2003-07-01
negative	21748543	WO2003041742A1	NUTRACEUTICAL COMPOSITION	2003-05-22
negative	21915928	AT440499T	LEBENSMITTELPRODUKTE MIT ERHÍHTEM KAKAOPOLYPHENOLGEHALT SOWIE VERFAHREN ZUR HERSTELLUNG DERSELBEN	2009-09-15
negative	21915928	AU3082799A	Food products having enhanced cocoa polyphenol content and processes for producing same	1999-09-27
negative	21915928	BR9908720A	Produtos alimentìcios que têm teor melhorado de polifenol de cacau e processos para a produção dos mesmos	2002-01-08
negative	21915928	BR9908720B1	processo para preparar um produto alimentìcio.	2010-11-16
negative	21915928	CA2323207A1	FOOD PRODUCTS HAVING ENHANCED COCOA POLYPHENOL CONTENT AND PROCESSES FOR PRODUCING SAME	1999-09-16
negative	21915928	CA2323207C	FOOD PRODUCTS HAVING ENHANCED COCOA POLYPHENOL CONTENT AND PROCESSES FOR PRODUCING SAME	2011-08-02
negative	21915928	CN1111357C	Can polyphenol content of improving the food and production of said food products method for	2003-06-18
negative	21915928	CN1301133A	Can polyphenol content of improving the food and production of said food products method for	2001-06-27
negative	21915928	EP1061812A1	FOOD PRODUCTS HAVING ENHANCED COCOA POLYPHENOL CONTENT AND PROCESSES FOR PRODUCING SAME	2000-12-27
negative	21915928	EP1061812A4	FOOD PRODUCTS HAVING ENHANCED COCOA POLYPHENOL CONTENT AND PROCESSES FOR PRODUCING SAME	2002-05-29
