Class	DocDB Family ID	Serial no.	Title	Publication date
negative	19855141	EP0411710A1	2-Quantum selective MR sequence for selectively determining a nuclear magnetisation of a metabolite	1991-02-06
negative	19855141	EP0411710B1	2-Quantum selective MR sequence for selectively determining a nuclear magnetisation of a metabolite	1996-10-02
negative	19855141	JP2960124B2	Decides the nuclear magnetization distribution of portion of the target which is laid out inside the uniform stable magnetic field choice the manner	1999-10-06
negative	19855141	JPH0370543A	METHOD FOR SELECTIVELY DETERMINING PARTIAL DISTRIBUTION OF NUCLEAR MAGNETIZATION OF OBJECT ARRANGED IN UNIFORMLY STABILIZED MAGNETIC FIELD	1991-03-26
negative	19855141	NL8902003A	2-QUANTUM NMR SELECTIVE SEQUENCE FOR THE SELECTIVE DETERMINATION OF A nuclear magnetization distribution of a metabolite.	1991-03-01
negative	19855141	US5081417A	2-QUANTUM SELECTIVE MR SEQUENCE FOR SELECTIVELY DETERMINING A NUCLEAR MAGNETISATION DISTRIBUTION OF A METABOLITE	1992-01-14
negative	19927887	AU6259501A	A quantum domain relay	2001-11-26
negative	19927887	US20030156781A1	Quantum domain relay	2003-08-21
negative	19927887	WO2001088953A2	A QUANTUM DOMAIN RELAY	2001-11-22
negative	19927887	WO2001088953A3	A QUANTUM DOMAIN RELAY	2002-03-28
negative	20146729	RU2071097C1	PROCESS FOR MEASURING MAGNETIC FIELD BY QUANTUM MAGNETOMETER	1996-12-27
negative	20190337	RU2168745C2	METHOD FOR ORIENTATION OF QUANTUM-MECHANICAL SELF-GENERATING MAGNETOMETER	2001-06-10
negative	20192936	AU8042198A	Method for writing and reading of information	1998-12-08
negative	20192936	RU2124755C1	METHOD FOR READING AND WRITING INFORMATION	1999-01-10
negative	20192936	WO1998052134A2	METHOD FOR WRITING AND READING OF INFORMATION	1998-11-19
negative	20192936	WO1998052134A3	METHOD FOR WRITING AND READING OF INFORMATION	1999-03-11
negative	20199105	RU2164724C2	LASER	2001-03-27
negative	21597287	RU2072599C1	METHOD FOR PHASE SYNCHRONIZATION OF OSCILLATIONS OF AT LEAST TWO SPIN QUANTUM OSCILLATORS	1997-01-27
negative	21731914	US6078963A	Router with de-centralized processing using intelligent ports	2000-06-20
negative	21798972	AU1592688A	ATMOSPHERIC OPTICAL CALIBRATION SYSTEM	1988-09-26
negative	21798972	CA1336452C	ATMOSPHERIC OPTICAL CALIBRATION SYSTEM	1995-07-25
negative	21798972	US4779980A	Atmospheric optical calibration system	1988-10-25
negative	21798972	WO1988006718A1	ATMOSPHERIC OPTICAL CALIBRATION SYSTEM	1988-09-07
negative	22277572	EP0711403A1	QUANTUM WELL BIAS MIRROR FOR PHASE MODULATION IN A RING LASER GYROSCOPE	1996-05-15
negative	22277572	EP0711403B1	QUANTUM WELL BIAS MIRROR FOR PHASE MODULATION IN A RING LASER GYROSCOPE	1998-10-07
negative	22277572	JPH09504653A	Phase modulation dosage child well bias mirror of ring laser gyroscope	1997-05-06
negative	22277572	US5416583A	Quantum well bias mirror for phase modulation in a ring laser gyroscope	1995-05-16
negative	22277572	WO1995004255A1	QUANTUM WELL BIAS MIRROR FOR PHASE MODULATION IN A RING LASER GYROSCOPE	1995-02-09
negative	22677326	US6317766B1	Fast quantum mechanical algorithms	2001-11-13
negative	22800210	US5535045A	COMPRISING GALLIUM ARSENIDE WELL LAYER, BARRIER LAYER OF ALUMINUM-GALLIUM-ARSENIDE HAVING N-TYPE SILICON DOPED CENTER REGION, AND ALUMINUM-GALLIUM-ARSENIDE BARRIER LAYER; GRADUAL TUNING OF OPTICAL PROPERTIES FOR INTERFEROMETERS	1996-07-09
negative	22961710	AT280415T	VERFAHREN UND VORRICHTUNG ZUM ANALYSIEREN VON HYBRIDISIERTEN BIOCHIP-MUSTERN, MITTELS RESONANZ- WECHSELWIRKUNGEN	2004-11-15
negative	22961710	AU5585900A	Method and apparatus for analyzing hybridized biochip patterns using resonance interactions	2000-09-21
negative	22961710	DE60015075D1	Method and apparatus for analyzing hybridized biochip - patterns, by means of resonance - interactions	2004-11-25
negative	22961710	DE60015075T2	Method and apparatus for analyzing hybridized biochip - patterns, by means of resonance - interactions	2005-10-13
negative	22961710	EP1145181A2	METHOD AND APPARATUS FOR ANALYZING HYBRIDIZED BIOCHIP PATTERNS USING RESONANCE INTERACTIONS	2001-10-17
negative	22961710	EP1145181B1	METHOD AND APPARATUS FOR ANALYZING HYBRIDIZED BIOCHIP PATTERNS USING RESONANCE INTERACTIONS	2004-10-20
negative	22961710	EP1406201A2	Method and apparatus for analyzing hybridized biochip patterns using resonance interactions	2004-04-07
negative	22961710	EP1406201A3	Method and apparatus for analyzing hybridized biochip patterns using resonance interactions	2006-08-09
negative	22961710	US20040064261A1	Technique for analyzing arrayed signals using quantum expressor functions	2004-04-01
negative	22961710	US6136541A	IDENTIFYING MUTATIONS IN A BIOLOGICAL SAMPLE BY GENERATING A RESONANCE PATTERN AND INTERPRETING TO YIELD A SET OF CONFIRMED MUTATIONS BY COMPARING RESONANCES WITH PREDETERMINED EXPECTED RESONANCES	2000-10-24
negative	22961710	US6671625B1	Method and system for signal detection in arrayed instrumentation based on quantum resonance interferometry	2003-12-30
negative	22961710	US6963806B2	Quantum resonance interferometry amplifies signals to generate a modified output pattern; analyzing biological samples such as DNA, RNA, protein samples, or the output patterns of hybridized biochip microarrays	2005-11-08
negative	22961710	WO2000052625A2	METHOD AND APPARATUS FOR ANALYZING HYBRIDIZED BIOCHIP PATTERNS USING RESONANCE INTERACTIONS	2000-09-08
negative	22961710	WO2000052625A3	METHOD AND APPARATUS FOR ANALYZING HYBRIDIZED BIOCHIP PATTERNS USING RESONANCE INTERACTIONS	2001-01-25
negative	23099388	US20020199108A1	Quantum digital signatures	2002-12-26
negative	23099388	US7246240B2	Quantum digital signatures	2007-07-17
negative	23314471	JP2001007798A	Communication systems and quantum cryptographic key delivery method	2001-01-12
negative	23314471	JP3565256B2	Being the communication system which the communication system null	2004-09-15
negative	23314471	US6678379B1	Quantum key distribution method and apparatus	2004-01-13
negative	23441721	AT338352T	SUBMINIATURISIERTER MIKROWELLEN-HOHLRAUM	2006-09-15
negative	23441721	AU7387100A	Subminiature microwave cavity	2001-02-19
negative	23441721	CN1248358C	Super-miniature microwave cavity	2006-03-29
negative	23441721	CN1452798A	Super-miniature microwave cavity	2003-10-29
negative	23441721	DE60030462D1	subminiaturisierter microwaves - cavity	2006-10-12
negative	23441721	EP1224709A1	SUBMINIATURE MICROWAVE CAVITY	2002-07-24
negative	23441721	EP1224709B1	SUBMINIATURE MICROWAVE CAVITY	2006-08-30
negative	23441721	US6133800A	Subminiature microwave cavity	2000-10-17
negative	23441721	WO2001009974A1	SUBMINIATURE MICROWAVE CAVITY	2001-02-08
negative	23497428	AU7135300A	Laser light quantum system	2001-03-19
negative	23497428	CN1190899C	Laser measuring system	2005-02-23
negative	23497428	CN1382322A	Laser light quantum system	2002-11-27
negative	23497428	EP1216510A1	LASER LIGHT QUANTUM SYSTEM	2002-06-26
negative	23497428	US6172570B1	Laser light quantum system	2001-01-09
negative	23497428	WO2001015325A1	LASER LIGHT QUANTUM SYSTEM	2001-03-01
negative	23554073	AU637654B2	ATOMIC INTERFEROMETRY GYROSCOPES, ACCELEROMETERS, AND GRAVITY GRADIOMETERS	1993-06-03
negative	23554073	AU6712690A	ATOMIC INTERFEROMETRY GYROSCOPES, ACCELEROMETERS, AND GRAVITY GRADIOMETERS	1991-03-11
negative	23554073	CA2033341A1	ATOMIC INTERFEROMETRY GYROSCOPES, ACCELEROMETERS AND GRAVITY GRADIOMETERS	1991-02-11
negative	23554073	CA2033341C	ATOMIC INTERFEROMETRY GYROSCOPES, ACCELEROMETERS AND GRAVITY GRADIOMETERS	1996-01-30
negative	23554073	EP0486624A1	ATOMIC INTERFEROMETRY GYROSCOPES, ACCELEROMETERS, AND GRAVITY GRADIOMETERS	1992-05-27
negative	23554073	EP0486624A4	ATOMIC INTERFEROMETRY GYROSCOPES, ACCELEROMETERS, AND GRAVITY GRADIOMETERS	1992-12-09
negative	23554073	JPH05501453A	NULL	1993-03-18
negative	23554073	US4992656A	Rotation, acceleration, and gravity sensors using quantum-mechanical matter-wave interferometry with neutral atoms and molecules	1991-02-12
negative	23554073	WO1991002444A1	ATOMIC INTERFEROMETRY GYROSCOPES, ACCELEROMETERS, AND GRAVITY GRADIOMETERS	1991-02-21
negative	23622843	AU7730400A	Automatic routing system for pc board design	2001-04-30
negative	23622843	US20010038612A1	Automatic routing system for circuit layout	2001-11-08
negative	23622843	WO2001024111A1	AUTOMATIC ROUTING SYSTEM FOR PC BOARD DESIGN	2001-04-05
negative	23838976	US6031377A	Magnetic anomaly detection buoy for detecting submarines	2000-02-29
negative	24350910	US6359916B1	Coherent population trapping-based frequency standard and method for generating a frequency standard incorporating a quantum absorber that generates the CPT state with high frequency	2002-03-19
negative	24350918	US6201821B1	Coherent population trapping-based frequency standard having a reduced magnitude of total a.c. stark shift	2001-03-13
negative	24352185	US6359917B1	Detection method and detector for generating a detection signal that quantifies a resonant interaction between a quantum absorber and incident electro-magnetic radiation	2002-03-19
negative	24352237	US6363091B1	Coherent population trapping-based method for generating a frequency standard having a reduced magnitude of total a.c. stark shift	2002-03-26
negative	25225234	US20020140941A1	Two-particle interferometer apparatus that removes an undesired anti-fringe output	2002-10-03
negative	25225234	US6483592B2	Two-particle interferometer apparatus that removes an undesired anti-fringe output	2002-11-19
negative	25369039	AU7702198A	A random number generator	1999-01-04
negative	25369039	EP1018070A1	A RANDOM NUMBER GENERATOR	2000-07-12
negative	25369039	US6249009B1	Random number generator	2001-06-19
negative	25369039	WO1998058309A1	A RANDOM NUMBER GENERATOR	1998-12-23
negative	25873875	DE3837380A1	Apparatus and method for the correction of a ring laser gyroscope - phase-angle errors may be induced by coupling	1997-05-15
negative	25873875	DE3837380C2	Apparatus and method for the correction of a ring laser gyroscope - phase-angle errors may be induced by coupling	1998-05-07
negative	25873875	GB2301932A	Correcting ring laser gyroscope phase angle errors induced by lock-in	1996-12-18
negative	25873875	GB2301932B	Apparatus and method for correcting ring laser gyroscope phase angle errors induced by lock-in	1997-10-08
negative	25873875	GB8825189D0	Apparatus and method for correcting ring laser gyroscope phase angle errors induced by lock-in	1996-07-24
negative	26160815	AU2375701A	Method for attenuating interference in a magnetically shielded room	2001-06-25
negative	26160815	EP1256266A1	METHOD FOR ATTENUATING INTERFERENCE IN A MAGNETICALLY SHIELDED ROOM	2002-11-13
negative	26160815	FI20001820A	Menetelmä magneettisuojatun huoneen magneettisten häiriöiden vaimentamiseksi	2001-06-14
negative	26160815	FI20001820A0	Menetelmä magneettisuojatun huoneen magneettisten häiriöiden vaimentamiseksi	2000-08-16
negative	26160815	JP2003517734A	The method of weakening the interference of the magnetic screening interior 	2003-05-27
negative	26160815	US20030121339A1	Method for attenuating interference in a magnetically shielded room	2003-07-03
negative	26160815	US6734353B2	Method for attenuating interference in a magnetically shielded room	2004-05-11
negative	26160815	WO2001045481A1	METHOD FOR ATTENUATING INTERFERENCE IN A MAGNETICALLY SHIELDED ROOM	2001-06-21
negative	26160815	WO2001045481A8	METHOD FOR ATTENUATING INTERFERENCE IN A MAGNETICALLY SHIELDED ROOM	2004-04-22
negative	26490748	CA2183174A1	NONDESTRUCTIVE INSPECTION EQUIPMENT	1997-02-19
negative	26490748	DE19632234A1	An apparatus for the problem-free material testing	1997-02-20
negative	26490748	JP2946195B2	Nondestructive inspection device	1999-09-06
negative	26490748	JPH09119918A	NONDESTRUCTIVE INSPECTION EQUIPMENT	1997-05-06
negative	26490748	US5834938A	Nondestructive inspection apparatus with superconducting magnetic sensor	1998-11-10
negative	26551025	JP2000150976A	INTRINSIC JOSEPHSON JUNCTION SUPERCONDUCTING THIN-FILM STRUCTURE AND MANUFACTURE THEREOF	2000-05-30
negative	26653769	EP0736984A1	METHOD OF TRANSMITTING INFORMATION AND VARIATIONS OF A DEVICE FOR CARRYING OUT THE SAID METHOD	1996-10-09
negative	26653769	RU2106748C1	METHOD FOR INFORMATION TRANSMISSION AND CLAIMS FOR DEVICE WHICH IMPLEMENTS SAID METHOD	1998-03-10
negative	26653769	RU94041635A	METHOD OF AND DEVICE FOR DATA TRANSMISSION (OPTIONS)	1996-09-27
negative	26653769	WO1995017797A1	METHOD OF TRANSMITTING INFORMATION AND VARIATIONS OF A DEVICE FOR CARRYING OUT THE SAID METHOD	1995-06-29
negative	26682859	US5866896A	Opto-electronic device for frequency standard generation and terahertz-range optical demodulation based on quantum interference	1999-02-02
negative	26815535	CA2381109A1	FLUXON INJECTION INTO ANNULAR JOSEPHSON JUNCTIONS	2002-10-11
negative	26815535	US20020177529A1	Current injection electrodes electrically connected to a superconducting electrode	2002-11-28
negative	26815535	US20040095803A1	Fluxon injection into annular josephson junctions	2004-05-20
negative	26815535	US6728131B2	Fluxon injection into annular Josephson junctions	2004-04-27
negative	26871265	US20020163394A1	Miniature frequency standard based on all-optical excitation and a micro-machined containment vessel	2002-11-07
negative	26871265	US6806784B2	Miniature frequency standard based on all-optical excitation and a micro-machined containment vessel	2004-10-19
negative	26954120	US20030123516A1	Quantum-interferometrically enhanced optical nonlinearities for photon switches and logic gates	2003-07-03
negative	27469065	CA2303677A1	DEVICE AND METHOD FOR EASILY ADJUSTING WORKING POINT OF SQUID	2000-10-09
negative	27469065	EP1043597A2	Device and method for adjusting the working point of a squid	2000-10-11
negative	27469065	EP1043597A3	Device and method for adjusting the working point of a squid	2001-07-11
negative	27469065	EP1243936A2	Squid Magnetometer	2002-09-25
negative	27469065	EP1243936A3	Squid Magnetometer	2002-11-13
negative	27469065	EP1243937A2	Superconducting magnetic sensor heater	2002-09-25
negative	27469065	EP1243937A3	Superconducting magnetic sensor heater	2002-11-13
negative	27469065	KR100532790B1	Device and method for easily adjusting working point of SQUID	2005-12-02
negative	27469065	KR20010014704A	Device and Method for Easily Adjusting Working Point of SQUID	2001-02-26
negative	27469065	NO20001825A	FremgangsmÕte og innretning for enkel justering av arbeidspunktet for SQUID	2000-10-10
negative	27469065	NO20001825D0	Fremgangsmåte og innretning for enkel justering av arbeidspunktet for SQUID	2000-04-07
negative	27469065	NO20001825L	FremgangsmÕte og innretning for enkel justering av arbeidspunktet for SQUID	2000-10-10
negative	27469065	US6498483B1	Device and method for easily adjusting working point of SQUID	2002-12-24
negative	27499090	US5528028A	Frequency standard using an atomic stream of optically cooled atoms	1996-06-18
negative	27551570	US5414356A	Fluxmeter including squid and pickup coil with flux guiding core and method for sensing degree of deterioration of an object	1995-05-09
negative	27613564	US20030141868A1	High balance gradiometer	2003-07-31
negative	27666248	JP2003209266A	METHOD FOR CHANGING PERMITTIVITY, OPTICAL VARIABLE CONDENSOR, ULTRAVIOLET SENSOR AND MAGNETIC SENSOR	2003-07-25
negative	29538060	JP2003317018A	QUANTUM CASH METHOD, APPARATUS THEREFOR, AND PROGRAM THEREFOR	2003-11-07
negative	29777015	RU2213364C2	RUBIDIUM FREQUENCY STANDARD	2003-09-27
negative	31986157	US20040053435A1	Electronic device and method for fabricating the electronic device	2004-03-18
negative	31986157	US20050017276A1	Electronic device with thin film structure	2005-01-27
negative	31986157	US6787387B2	Electronic device and method for fabricating the electronic device	2004-09-07
negative	32040305	AU2002338042A1	CRYPTOGRAPHIC COMMUNICATION APPARATUS	2004-04-19
negative	32040305	CN1589544A	Quantum quantum transmitting device receiving device of electronic code communication device and the quantum communication method code	2005-03-02
negative	32040305	DE60220083D1	Cryptographic communication device	2007-06-21
negative	32040305	DE60220083T2	Cryptographic communication device	2008-01-10
negative	32040305	EP1445890A1	Cryptographic communication apparatus	2004-08-11
negative	32040305	EP1445890A4	CRYPTOGRAPHIC COMMUNICATION APPARATUS	2005-01-26
negative	32040305	EP1445890B1	Cryptographic communication apparatus	2007-05-09
negative	32040305	JP4398374B2	Generation	2010-01-13
negative	32040305	JPWO2004030270A1	Signal device	2006-01-26
negative	32040305	KR100631242B1	CRYPTOGRAPHIC COMMUNICATION APPARATUS	2006-10-02
negative	32040305	KR20040058326A	CRYPTOGRAPHIC COMMUNICATION APPARATUS	2004-07-03
negative	32040305	US20050157875A1	Crytographic communication apparatus	2005-07-21
negative	32040305	US7649996B2	Cryptographic communication apparatus	2010-01-19
negative	32040305	WO2004030270A1	CRYPTOGRAPHIC COMMUNICATION APPARATUS	2004-04-08
negative	32063409	JP2004094885A	QUANTUM COMPUTER ALGORITHM CONVERTER, METHOD THEREFOR, QUANTUM COMPUTER ALGORITHM CONVERSION PROGRAM, AND RECORDING MEDIUM WITH THE PROGRAM RECORDED THEREON	2004-03-25
negative	32063409	JP3896057B2	The quantum computer algorithm conversion device and its manner, using the record media null control NOT which, records the quantum computer algorithm conversion	2007-03-22
negative	32297077	US20040093939A1	Non-contact level detector for fluids in a container	2004-05-20
negative	32326347	AU2003277786A1	QUANTUM CRYPTOGRAPHY PROTOCOL	2004-06-15
negative	32326347	CA2506516A1	QUANTUM CRYPTOGRAPHY PROTOCOL	2004-06-03
negative	32326347	CA2506516C	QUANTUM CRYPTOGRAPHY PROTOCOL	2012-10-09
negative	32326347	EP1561300A1	QUANTUM CRYPTOGRAPHY PROTOCOL	2005-08-10
negative	32326347	JP2006506859A	Quantum cryptographic protocol 	2006-02-23
negative	32326347	JP4696222B2	Quantum cryptography protocol	2011-06-08
negative	32326347	US20060120529A1	Quantum cryptography protocol	2006-06-08
negative	32326347	US7359513B2	Quantum cryptography protocol	2008-04-15
negative	32326347	WO2004047359A1	QUANTUM CRYPTOGRAPHY PROTOCOL	2004-06-03
negative	32326347	WO2004047359A8	QUANTUM CRYPTOGRAPHY PROTOCOL	2004-07-08
negative	32868487	US20040167753A1	Quantum mechanical model-based system and method for global optimization	2004-08-26
negative	32868487	US7398162B2	Quantum mechanical model-based system and method for global optimization	2008-07-08
negative	32927853	US6789070B1	Automatic feature selection system for data containing missing values	2004-09-07
negative	32990361	EP1473605A2	Coherent population trapping detector	2004-11-03
negative	32990361	EP1473605A3	Coherent population trapping detector	2005-11-16
negative	32990361	US20040223523A1	Coherent population trapping detector	2004-11-11
negative	32990361	US6993058B2	Coherent population trapping detector	2006-01-31
negative	32994526	AU2003253893A1	METHOD AND SYSTEM FOR OPERATING AN ATOMIC CLOCK WITH REDUCED SPIN-EXCHANGE BROADENING OF ATOMIC CLOCK RESONANCES	2004-09-30
negative	32994526	AU2003253893A8	Method and system for operating an atomic clock with reduced spin-exchange broadening of atomic clock resonances	2004-09-30
negative	32994526	US20040233003A1	Method and system for operating an atomic clock with reduced spin-exchange broadening of atomic clock resonances	2004-11-25
negative	32994526	US6919770B2	Method and system for operating an atomic clock with reduced spin-exchange broadening of atomic clock resonances	2005-07-19
negative	32994526	WO2004081586A2	METHOD AND SYSTEM FOR OPERATING AN ATOMIC CLOCK WITH REDUCED SPIN-EXCHANGE BROADENING OF ATOMIC CLOCK RESONANCES	2004-09-23
negative	32994526	WO2004081586A3	METHOD AND SYSTEM FOR OPERATING AN ATOMIC CLOCK WITH REDUCED SPIN-EXCHANGE BROADENING OF ATOMIC CLOCK RESONANCES	2005-03-10
negative	33042191	GB0418332D0	Field sensing apparatus and methods	2004-09-22
negative	33042191	GB0807938D0	Field sensing apparatus and methods	2008-06-11
negative	33042191	GB2417330A	Quantum interference field sensor	2006-02-22
negative	33042191	GB2417330B	Field sensing apparatus and methods	2008-06-25
negative	33042191	GB2445898A	Mach-Zender interferometer for charged quantum entities	2008-07-23
negative	33042191	GB2445898B	Field sensing apparatus and methods	2008-09-10
negative	33135243	US20040202050A1	Method and system for operating an atomic clock with simultaneous locking of field and frequency	2004-10-14
negative	33135243	US6888780B2	Method and system for operating an atomic clock with simultaneous locking of field and frequency	2005-05-03
negative	33135243	WO2004095037A2	METHOD AND SYSTEM FOR OPERATING AN ATOMIC CLOCK WITH SIMULTANEOUS LOCKING OF FIELD AND FREQUENCY	2004-11-04
negative	33135243	WO2004095037A3	METHOD AND SYSTEM FOR OPERATING AN ATOMIC CLOCK WITH SIMULTANEOUS LOCKING OF FIELD AND FREQUENCY	2005-12-08
negative	33286527	JP2004275332A	MAGNETIC RESONANCE IMAGING APPARATUS	2004-10-07
negative	33293912	JP2004286629A	SYSTEM FOR MEASURING QUANTUM INTERFERENCE	2004-10-14
negative	33293912	JP4235704B2	The laser illuminant	2009-03-11
negative	33504516	JP2004336308A	QUANTUM VOTING METHOD, QUANTUM VOTING SYSTEM, BALLOT DISTRIBUTION DEVICE, VOTING DEVICE, AND BALLOT COUNTING DEVICE	2004-11-25
negative	33506875	JP2004334685A	QUANTUM VOTING METHOD, QUANTUM VOTING SYSTEM, AND VOTING MANAGEMENT DEVICE, AND VOTING DEVICE	2004-11-25
negative	33506875	JP4065807B2	Quantum poll manner, jointing the quantum poll system, and the poll management device, 	2008-03-26
negative	33506981	JP2004334691A	QUANTUM VOTING METHOD, QUANTUM VOTING SYSTEM, AND VOTING MANAGEMENT DEVICE, AND VOTING DEVICE	2004-11-25
negative	33530346	JP2004349833A	QUANTUM ANONYMOUS TRANSMITTING APPARATUS, QUANTUM ANONYMOUS RECEIVING APPARATUS, QUANTUM STATE DISTRIBUTING APPARATUS, QUANTUM ANONYMOUS COMMUNICATION METHOD, AND PROGRAM	2004-12-09
negative	34099268	JP2005012631A	QUANTUM CIPHER COMMUNICATION APPARATUS AND METHOD THEREFOR	2005-01-13
negative	34099268	JP4388316B2	Quantum cryptography communication apparatus and method	2009-12-24
negative	34113577	JP2005030791A	MOBILE TYPE OPTICAL ENVIRONMENT MEASURING DEVICE	2005-02-03
negative	34113577	JP3837552B2	Measurement equipment for measurement	2006-10-25
negative	34113577	US20050030526A1	Mobile measurement system of photoenvironment	2005-02-10
negative	34113577	US7151247B2	Mobile measurement system of photoenvironment	2006-12-19
negative	34115724	DE602004010270D1	Quanta - cryptography with checking of the quanta channel	2008-01-03
negative	34115724	DE602004010270T2	Quanta - cryptography with checking of the quanta channel	2008-10-09
negative	34115724	EP1652334A1	QUANTUM CRYPTOGRAPHY WITH QUANTUM CHANNEL CHECK	2006-05-03
negative	34115724	EP1652334B1	QUANTUM CRYPTOGRAPHY WITH QUANTUM CHANNEL CHECK	2007-11-21
negative	34115724	JP2006528851A	Quantum cryptography has a quantum channel check	2006-12-21
negative	34115724	JP4829788B2	Quantum cryptography has a quantum channel check	2011-12-07
negative	34115724	US20050036624A1	Quantum cryptography	2005-02-17
negative	34115724	US7983422B2	Quantum cryptography	2011-07-19
negative	34115724	WO2005013549A1	QUANTUM CRYPTOGRAPHY WITH QUANTUM CHANNEL CHECK	2005-02-10
negative	34422958	GB0607194D0	Photonic interconnect system	2006-05-17
